"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.65791119450E+003, +2.51922008791E-002, +0.00000000000E+000
+1.66041275797E+003, +2.53501979925E-002, +0.00000000000E+000
+1.66291432145E+003, +2.54768083813E-002, +0.00000000000E+000
+1.66541588493E+003, +2.56101238037E-002, +0.00000000000E+000
+1.66791744841E+003, +2.58427580487E-002, +0.00000000000E+000
+1.67041901188E+003, +2.59177814363E-002, +0.00000000000E+000
+1.67292057536E+003, +2.60947337518E-002, +0.00000000000E+000
+1.67542213884E+003, +2.62511135926E-002, +0.00000000000E+000
+1.67792370231E+003, +2.64941836799E-002, +0.00000000000E+000
+1.68042526579E+003, +2.65560933217E-002, +0.00000000000E+000
+1.68292682927E+003, +2.67630293608E-002, +0.00000000000E+000
+1.68542839275E+003, +2.68859368181E-002, +0.00000000000E+000
+1.68792995622E+003, +2.69352693671E-002, +0.00000000000E+000
+1.69043151970E+003, +2.72395727708E-002, +0.00000000000E+000
+1.69293308318E+003, +2.73865098036E-002, +0.00000000000E+000
+1.69543464665E+003, +2.76202445381E-002, +0.00000000000E+000
+1.69793621013E+003, +2.77763123487E-002, +0.00000000000E+000
+1.70043777361E+003, +2.79858835576E-002, +0.00000000000E+000
+1.70293933709E+003, +2.80601817939E-002, +0.00000000000E+000
+1.70544090056E+003, +2.82666354002E-002, +0.00000000000E+000
+1.70794246404E+003, +2.84015857338E-002, +0.00000000000E+000
+1.71044402752E+003, +2.86222513541E-002, +0.00000000000E+000
+1.71294559099E+003, +2.88121610293E-002, +0.00000000000E+000
+1.71544715447E+003, +2.90056617023E-002, +0.00000000000E+000
+1.71794871795E+003, +2.92441698446E-002, +0.00000000000E+000
+1.72045028143E+003, +2.94600099341E-002, +0.00000000000E+000
+1.72295184490E+003, +2.96270061513E-002, +0.00000000000E+000
+1.72545340838E+003, +2.97047823687E-002, +0.00000000000E+000
+1.72795497186E+003, +2.99256320907E-002, +0.00000000000E+000
+1.73045653533E+003, +3.01918811452E-002, +0.00000000000E+000
+1.73295809881E+003, +3.04980426436E-002, +0.00000000000E+000
+1.73545966229E+003, +3.05052740024E-002, +0.00000000000E+000
+1.73796122577E+003, +3.06282406759E-002, +0.00000000000E+000
+1.74046278924E+003, +3.09423516807E-002, +0.00000000000E+000
+1.74296435272E+003, +3.11815774260E-002, +0.00000000000E+000
+1.74546591620E+003, +3.14278845852E-002, +0.00000000000E+000
+1.74796747967E+003, +3.16189579622E-002, +0.00000000000E+000
+1.75046904315E+003, +3.18087253905E-002, +0.00000000000E+000
+1.75297060663E+003, +3.19603004148E-002, +0.00000000000E+000
+1.75547217011E+003, +3.22532991133E-002, +0.00000000000E+000
+1.75797373358E+003, +3.24080033783E-002, +0.00000000000E+000
+1.76047529706E+003, +3.26478986442E-002, +0.00000000000E+000
+1.76297686054E+003, +3.28750334253E-002, +0.00000000000E+000
+1.76547842402E+003, +3.30228806065E-002, +0.00000000000E+000
+1.76797998749E+003, +3.32449501654E-002, +0.00000000000E+000
+1.77048155097E+003, +3.33724513208E-002, +0.00000000000E+000
+1.77298311445E+003, +3.35460606700E-002, +0.00000000000E+000
